C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\.venv\Scripts\python.exe "C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\step 1 simulation\step1_sim.py" 
C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\.venv\Lib\site-packages\pygame\surfarray.py:47: UserWarning: The NumPy module was reloaded (imported a second time). This can in some cases result in small but subtle issues and is discouraged.
  import numpy
pygame 2.6.0 (SDL 2.28.4, Python 3.12.1)
Hello from the pygame community. https://www.pygame.org/contribute.html
(1, 0.00030800001695752144)
(2, 0.0004944999818690121)
(3, 0.00032900000223889947)
(4, 0.00018150004325434566)
(5, 0.00017819995991885662)
(6, 0.00017519999528303742)
(7, 0.00018220004858449101)
(8, 0.0001832999987527728)
(9, 0.00018279999494552612)
(10, 0.000185999961104244)
(11, 0.00018250005086883903)
(12, 0.0001832999987527728)
(13, 0.0001900999923236668)
(14, 0.00017179996939375997)
(15, 0.00017249997472390532)
(16, 0.00020619999850168824)
(17, 0.00017180002760142088)
(18, 0.0001724000321701169)
(19, 0.00017229997320100665)
(20, 0.0001721000298857689)
(21, 0.00019290001364424825)
(22, 0.00018609996186569333)
(23, 0.00017279997700825334)
(24, 0.00017250003293156624)
(25, 0.00017209997167810798)
(26, 0.00017200002912431955)
(27, 0.00021020002895966172)
(28, 0.00020730000687763095)
(29, 0.00017209997167810798)
(30, 0.00017310003750026226)
(31, 0.00020589999621734023)
(32, 0.00017579999985173345)
(33, 0.00017200002912431955)
(34, 0.000172699976246804)
(35, 0.0001715999678708613)
(36, 0.00017280003521591425)
(37, 0.00020780001068487763)
(38, 0.00017219997243955731)
(39, 0.00017209997167810798)
(40, 0.0001732000382617116)
(41, 0.00017329998081550002)
(42, 0.0001727000344544649)
(43, 0.0001718999701552093)
(44, 0.00017259997548535466)
(45, 0.00017200002912431955)
(46, 0.00017259997548535466)
(47, 0.00017150002531707287)
(48, 0.00020780001068487763)
(49, 0.0002308000111952424)
(50, 0.0001905999961309135)
(51, 0.00020519999088719487)
(52, 0.0001886999816633761)
(53, 0.00018749997252598405)
(54, 0.00017309997929260135)
(55, 0.0002101999707520008)
(56, 0.00017390004359185696)
(57, 0.00017319998005405068)
(58, 0.00021199998445808887)
(59, 0.00017309997929260135)
(60, 0.00017399998614564538)
(61, 0.00017149996710941195)
(62, 0.00017230003140866756)
(63, 0.00017199997091665864)
(64, 0.00017779995687305927)
(65, 0.0001718999701552093)
(66, 0.00017330003902316093)
(67, 0.00017229997320100665)
(68, 0.00023370003327727318)
(69, 0.00019079999765381217)
(70, 0.00019099999917671084)
(71, 0.00017199997091665864)
(72, 0.00017380004283040762)
(73, 0.00017149996710941195)
(74, 0.00021160003961995244)
(75, 0.00017309997929260135)
(76, 0.00017380004283040762)
(77, 0.00017640000442042947)
(78, 0.00017279997700825334)
(79, 0.00020670000230893493)
(80, 0.00017259997548535466)
(81, 0.00017150002531707287)
(82, 0.00020279997261241078)
(83, 0.00017529999604448676)
(84, 0.00022609997540712357)
(85, 0.00033740000799298286)
(86, 0.00021300005028024316)
(87, 0.00023780000628903508)
(88, 0.00032190000638365746)
(89, 0.00022899999748915434)
(90, 0.0002321999636478722)
(91, 0.0002300000051036477)
(92, 0.0001745999907143414)
(93, 0.00017249997472390532)
(94, 0.0001732000382617116)
(95, 0.00017329998081550002)
(96, 0.00017380004283040762)
(97, 0.0002481999690644443)
(98, 0.0002673999988473952)
(99, 0.00017259997548535466)
(100, 0.00017280003521591425)
(101, 0.000172999978531152)
(102, 0.00017359998309984803)
(103, 0.00017249997472390532)
(104, 0.00017319998005405068)
(105, 0.0001716000260785222)
(106, 0.000172699976246804)
(107, 0.00022520002676174045)
(108, 0.0001742999884299934)
(109, 0.00017250003293156624)
(110, 0.00017329998081550002)
(111, 0.00017139996634796262)
(112, 0.00021030002972111106)
(113, 0.00017209997167810798)
(114, 0.0001710999640636146)
(115, 0.00017230003140866756)
(116, 0.00017110002227127552)
(117, 0.000188700039871037)
(118, 0.00020780001068487763)
(119, 0.0001715999678708613)
(120, 0.00017119996482506394)
(121, 0.0001724000321701169)
(122, 0.000172699976246804)
(123, 0.00018849998014047742)
(124, 0.00017190002836287022)
(125, 0.00017259997548535466)
(126, 0.00017279997700825334)
(127, 0.0001727000344544649)
(128, 0.0001870999694801867)
(129, 0.00017329998081550002)
(130, 0.00017249997472390532)
(131, 0.00017229997320100665)
(132, 0.00017220003064721823)
(133, 0.00019619998056441545)
(134, 0.00018630002159625292)
(135, 0.00017150002531707287)
(136, 0.000172399973962456)
(137, 0.0001721000298857689)
(138, 0.0001721000298857689)
(139, 0.00020750000840052962)
(140, 0.00017259997548535466)
(141, 0.0001721000298857689)
(142, 0.00017200002912431955)
(143, 0.0001742999884299934)
(144, 0.00021060003200545907)
(145, 0.00017229997320100665)
(146, 0.00017190002836287022)
(147, 0.00017220003064721823)
(148, 0.000172699976246804)
(149, 0.00017370004206895828)
(150, 0.00017229997320100665)
(151, 0.00017289997776970267)
(152, 0.00017449998995289207)
(153, 0.00017209997167810798)
(154, 0.00017250003293156624)
(155, 0.0002182999742217362)
(156, 0.00017410004511475563)
(157, 0.00017329998081550002)
(158, 0.00017250003293156624)
(159, 0.00017279997700825334)
(160, 0.00022610003361478448)
(161, 0.00020760000916197896)
(162, 0.00017310003750026226)
(163, 0.00017289997776970267)
(164, 0.00017230003140866756)
(165, 0.00019649998284876347)
(166, 0.00017549999756738544)
(167, 0.000208500016015023)
(168, 0.00019610003801062703)
(169, 0.00018849998014047742)
(170, 0.00025209999876096845)
(171, 0.0002989000058732927)
(172, 0.00023940001847222447)
(173, 0.00022170000011101365)
(174, 0.000305800000205636)
(175, 0.00023289996897801757)
(176, 0.00024200003826990724)
(177, 0.0001734999823383987)
(178, 0.00017260003369301558)
(179, 0.00017279997700825334)
(180, 0.00017390004359185696)
(181, 0.00017199997091665864)
(182, 0.00017229997320100665)
(183, 0.00020790001144632697)
(184, 0.00017880002269521356)
(185, 0.00017229997320100665)
(186, 0.00017249997472390532)
(187, 0.00017220003064721823)
(188, 0.00017309997929260135)
(189, 0.0001721000298857689)
(190, 0.00017220003064721823)
(191, 0.0001718999701552093)
(192, 0.00017219997243955731)
(193, 0.00017170002683997154)
(194, 0.00021410000044852495)
(195, 0.0001721000298857689)
(196, 0.00017219997243955731)
(197, 0.00017190002836287022)
(198, 0.00017200002912431955)
(199, 0.0002060999977402389)
(200, 0.00017140002455562353)
(201, 0.00017169996863231063)
(202, 0.00017230003140866756)
(203, 0.00017219997243955731)
(204, 0.000172999978531152)
(205, 0.00022610003361478448)
(206, 0.00017369998386129737)
(207, 0.00017399998614564538)
(208, 0.00017340003978461027)
(209, 0.00017309997929260135)
(210, 0.0002747999969869852)
(211, 0.00017369998386129737)
(212, 0.00017280003521591425)
(213, 0.00017319998005405068)
(214, 0.00017340003978461027)
(215, 0.00021299999207258224)
(216, 0.00017259997548535466)
(217, 0.00017289997776970267)
(218, 0.0001732000382617116)
(219, 0.00017259997548535466)
(220, 0.00020750000840052962)
(221, 0.00020830001449212432)
(222, 0.00017200002912431955)
(223, 0.000172999978531152)
(224, 0.00017309997929260135)
(225, 0.00017309997929260135)
(226, 0.00021109997760504484)
(227, 0.00017309997929260135)
(228, 0.00017419998766854405)
(229, 0.00017359998309984803)
(230, 0.00017370004206895828)
(231, 0.00020830001449212432)
(232, 0.00017259997548535466)
(233, 0.00017209997167810798)
(234, 0.0001724000321701169)
(235, 0.00017040001694113016)
(236, 0.00021009996999055147)
(237, 0.0001748999929986894)
(238, 0.00017259997548535466)
(239, 0.00017150002531707287)
(240, 0.00017209997167810798)
(241, 0.00017119996482506394)
(242, 0.00018970004748553038)
(243, 0.00017099996330216527)
(244, 0.00017249997472390532)
(245, 0.00017060001846402884)
(246, 0.0001734999823383987)
(247, 0.0002114999806508422)
(248, 0.00017449998995289207)
(249, 0.0001716000260785222)
(250, 0.0001727000344544649)
(251, 0.00017169996863231063)
(252, 0.0001947000273503363)
(253, 0.00017180002760142088)
(254, 0.00019449996761977673)
(255, 0.00017939996905624866)
(256, 0.00018130004173144698)
(257, 0.00018079997971653938)
(258, 0.00018289999570697546)
(259, 0.00019320001592859626)
(260, 0.00017850002041086555)
(261, 0.00017750001279637218)
(262, 0.0001799999736249447)
(263, 0.00021889997879043221)
(264, 0.00017910002497956157)
(265, 0.0001770000089891255)
(266, 0.00017980003030970693)
(267, 0.00017860002117231488)
(268, 0.0002148000057786703)
(269, 0.00017740001203492284)
(270, 0.00017929996829479933)
(271, 0.00017769995611160994)
(272, 0.000179799972102046)
(273, 0.00024860003031790257)
(274, 0.0002142000012099743)
(275, 0.00017690000822767615)
(276, 0.000179799972102046)
(277, 0.00017739995382726192)
(278, 0.00021790002938359976)
(279, 0.00017670000670477748)
(280, 0.00017980003030970693)
(281, 0.000179499969817698)
(282, 0.00017980003030970693)
(283, 0.00019609997980296612)
(284, 0.0001946999691426754)
(285, 0.00017330003902316093)
(286, 0.0001762000028975308)
(287, 0.00017329998081550002)
(288, 0.0001765000051818788)
(289, 0.00019019999308511615)
(290, 0.0001756999990902841)
(291, 0.00017309997929260135)
(292, 0.0001756999990902841)
(293, 0.000172999978531152)
(294, 0.00017670000670477748)
(295, 0.0001900000497698784)
(296, 0.00017989997286349535)
(297, 0.00017710000975057483)
(298, 0.00018010003259405494)
(299, 0.00020150002092123032)
(300, 0.00019489997066557407)
(301, 0.00017780001508072019)
(302, 0.00017990003107115626)
(303, 0.00017800001660361886)
(304, 0.00021410000044852495)
(305, 0.0001773000112734735)
(306, 0.0001799999736249447)
(307, 0.0001770000089891255)
(308, 0.0001802999759092927)
(309, 0.0001792000257410109)
(310, 0.00021659996127709746)
(311, 0.00017719995230436325)
(312, 0.00017889996524900198)
(313, 0.00017670000670477748)
(314, 0.00017910002497956157)
(315, 0.00024590000975877047)
(316, 0.00022350001381710172)
(317, 0.00019430002430453897)
(318, 0.00021629995899274945)
(319, 0.000255199964158237)
(320, 0.00017980003030970693)
(321, 0.00017710000975057483)
(322, 0.000179799972102046)
(323, 0.00017670000670477748)
(324, 0.00020629999926313758)
(325, 0.00022689998149871826)
(326, 0.00017969997134059668)
(327, 0.00017600000137463212)
(328, 0.00017889996524900198)
(329, 0.00021030002972111106)
(330, 0.00017880002269521356)
(331, 0.00017660000594332814)
(332, 0.00017919996753335)
(333, 0.00017629994545131922)
(334, 0.0002128999913111329)
(335, 0.00017670000670477748)
(336, 0.00017870002193376422)
